Дата,Область,Місто,long,lat,Значення 1,Значення 2,Значення 3,Значення 4,Значення 5,Значення 6,Значення 7,Значення 8,Значення 9,Значення 10
31.03.2024,Одеська,Одеса,"30,7306393","46,4702111",1,0,0,1,0,0,0,1,0,0
31.03.2024,Одеська,Одеса,"30,7306393","46,4702111",1,0,0,1,0,0,0,0,0,0
01.04.2024,Харківська,Люботин,"35,9407539","49,9511113",1,0,1,0,0,0,0,0,1,1
01.04.2024,Харківська,Люботин,"35,9407539","49,9511113",0,0,0,0,0,0,0,0,1,0
01.04.2024,Харківська,Чугуїв,"36,6813122","49,8363158",1,0,0,1,0,0,0,0,1,0
01.04.2024,Дніпропетровська,Кривий Ріг,"33,391783","47,910483",1,1,0,0,0,0,1,1,1,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",1,1,0,0,0,0,1,0,1,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,1,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,1,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Дніпропетровська,Дніпро,"35,046183","48,464717",0,0,0,0,0,0,1,0,0,0
02.04.2024,Кіровоградська,Кропивницький,"32,2641984","48,5070977",1,0,0,1,0,0,0,1,0,0
03.04.2024,Сумська,Краснопілля,"35,267666","50,7671084",1,0,1,0,0,0,0,0,1,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,1,1,0,1,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,1,1,0,0,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,1,1,0,0,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,1,1,0,0,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,0,1,0,0,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,0,1,0,0,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,0,1,0,0,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,0,1,0,0,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,0,1,0,0,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",0,0,0,0,0,0,1,0,0,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",0,0,0,0,0,0,1,0,0,0
04.04.2024,Харківська,Харків,"36,3073994","50,0020127",0,0,0,0,0,0,1,0,0,0
05.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,1,0,0,0,0,0,1,1
05.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,1,0,0,0,0,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",1,0,1,0,0,1,1,0,1,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",1,0,1,0,0,1,1,0,1,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",1,0,1,0,0,1,1,0,1,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",1,0,1,0,0,1,1,0,1,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",1,0,1,0,0,0,1,0,1,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
05.04.2024,Запорізька,Запоріжжя,"35,1387097","47,8392842",0,0,0,0,0,0,1,0,0,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,1,1,0,1,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,1,1,0,0,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,1,1,0,0,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",1,0,0,1,0,1,1,0,0,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",0,0,0,0,0,1,1,0,0,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",0,0,0,0,0,1,1,0,0,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",0,0,0,0,0,1,1,0,0,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",0,0,0,0,0,0,1,0,0,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",0,0,0,0,0,0,1,0,0,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",0,0,0,0,0,0,1,0,0,0
06.04.2024,Харківська,Харків,"36,3073994","50,0020127",0,0,0,0,0,0,1,0,0,0
